,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
38706|VEZF1,1.3958610878273E-08,-7.8551577993288,Homo sapiens,VEZF1,tf,LoVo,None,Colon,1,VEZF1
52171|PRDM11,1.42056609253594E-08,-7.84753855570668,Homo sapiens,PRDM11,tf,U-2932,B Lymphocyte,None,0,PRDM11
63362|C11orf30,1.43743231761917E-08,-7.84241259517852,Homo sapiens,C11orf30,,K562,Erythroblast,Bone Marrow,1,C11orf30
4126|HDAC6,1.44161981796564E-08,-7.84114925607231,Homo sapiens,HDAC6,cr,None,T Lymphocyte,Blood,1,HDAC6
35525|NCOR2,1.69465100285926E-08,-7.77091972704101,Homo sapiens,NCOR2,cr,OCI-Ly1,B cell lymphoma,Bone Marrow,1,NCOR2
38666|ZBTB7B,1.71689319428126E-08,-7.76525672090026,Homo sapiens,ZBTB7B,tf,LoVo,None,Colon,1,ZBTB7B
62931|ZNF341,1.7431306453819E-08,-7.75867006186181,Homo sapiens,ZNF341,,HEK293,Epithelium,Embryonic Kidney,1,ZNF341
63981|ZFP64,1.97046733929618E-08,-7.70543075921553,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
46139|ZEB1,2.03210033244972E-08,-7.69205485310389,Homo sapiens,ZEB1,tf,GM12878,B Lymphocyte,Blood,1,ZEB1
53493|SOX9,2.08920769018128E-08,-7.68001838423407,Homo sapiens,SOX9,tf,HT29,Epithelium,Colon,1,SOX9
65146|ZBTB14,2.10266418165794E-08,-7.67723008332828,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB14
63203|ZNF354C,2.1108024661487E-08,-7.67555240708817,Homo sapiens,ZNF354C,,HEK293,Epithelium,Embryonic Kidney,1,ZNF354C
45961|UBTF,2.12390738885127E-08,-7.6728644242138,Homo sapiens,UBTF,tf,K562,Erythroblast,Bone Marrow,1,UBTF
65137|ZBTB18,2.1480271505947E-08,-7.66796023355026,Homo sapiens,ZBTB18,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB18
45803|GRP20,2.23493724083035E-08,-7.65073466776415,Homo sapiens,GRP20,other,HepG2,Epithelium,Liver,1,GRP20
63952|ZNF641,2.36122770225222E-08,-7.62686213021761,Homo sapiens,ZNF641,,HEK293,Epithelium,Embryonic Kidney,1,ZNF641
49009|CPSF3L,2.3968956319731E-08,-7.62035087603935,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
5570|POLR2M,2.40284677155422E-08,-7.61927392307469,Homo sapiens,POLR2M,tf,HeLa,Epithelium,Cervix,1,POLR2M
64553|HIC1,2.49636532001496E-08,-7.60269185935135,Homo sapiens,HIC1,,HEK293,Epithelium,Embryonic Kidney,1,HIC1
65040|DNMT1,2.59664542645588E-08,-7.58558734950309,Homo sapiens,DNMT1,cr,K562,Erythroblast,Bone Marrow,1,DNMT1
63478|POLR2H,2.711097957242E-08,-7.56685479023173,Homo sapiens,POLR2H,,K562,Erythroblast,Bone Marrow,1,POLR2H
34396|MECP2,3.00691301857725E-08,-7.52187913461923,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
62889|ZNF518A,3.05432536484851E-08,-7.51508470119192,Homo sapiens,ZNF518A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF518A
63634|ZNF101,3.11181973522423E-08,-7.50698556922249,Homo sapiens,ZNF101,,HEK293,Epithelium,Embryonic Kidney,1,ZNF101
62561|BCL11A,3.19983297636384E-08,-7.49487269022279,Homo sapiens,BCL11A,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,BCL11A
62769|ZNF71,3.28492605894404E-08,-7.48347440161531,Homo sapiens,ZNF71,,HEK293,Epithelium,Embryonic Kidney,1,ZNF71
42760|FOXP1,3.35445552446245E-08,-7.47437796190664,Homo sapiens,FOXP1,tf,LoVo,None,Colon,1,FOXP1
74117|RUNX2,3.36460554417606E-08,-7.47306584378153,Homo sapiens,RUNX2,tf,MCF-7,None,None,1,RUNX2
74350|OTX2,3.47338929840291E-08,-7.45924653811938,Homo sapiens,OTX2,tf,D-341,None,None,1,OTX2
65120|ZBTB26,3.74990563600797E-08,-7.42597966087939,Homo sapiens,ZBTB26,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB26
42720|HOXA4,3.78609780193884E-08,-7.42180817159416,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
65063|ZNF574,3.79651896587063E-08,-7.42061442622136,Homo sapiens,ZNF574,,HEK293,Epithelium,Embryonic Kidney,1,ZNF574
63975|GATA4,3.93173111845613E-08,-7.40541619016941,Homo sapiens,GATA4,tf,HepG2,Epithelium,Liver,1,GATA4
45615|CUX1,3.944690724067E-08,-7.40398704114819,Homo sapiens,CUX1,tf,GM12878,B Lymphocyte,Blood,1,CUX1
62874|DNMT3B,4.07677058222866E-08,-7.38968372751658,Homo sapiens,DNMT3B,cr,HepG2,Epithelium,Liver,1,DNMT3B
63302|NKRF,4.52896968816674E-08,-7.3440005859865,Homo sapiens,NKRF,,K562,Erythroblast,Bone Marrow,1,NKRF
64256|ZNF610,4.64576179193266E-08,-7.33294306209957,Homo sapiens,ZNF610,,HEK293,Epithelium,Embryonic Kidney,1,ZNF610
45736|BRCA1,5.57834965442261E-08,-7.25349426736881,Homo sapiens,BRCA1,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1,BRCA1
62815|NR4A1,5.62085702426884E-08,-7.25019746156008,Homo sapiens,NR4A1,tf,K562,Erythroblast,Bone Marrow,1,NR4A1
64360|ZNF788,5.7700474842548E-08,-7.23882061282954,Homo sapiens,ZNF788,,HEK293,Epithelium,Embryonic Kidney,1,ZNF788
1223|C17orf49,6.54479785366924E-08,-7.18410376277125,Homo sapiens,C17orf49,cr,HeLa,Epithelium,Cervix,1,C17orf49
63354|CEBPZ,6.84811858886469E-08,-7.16442872758855,Homo sapiens,CEBPZ,tf,GM12878,B Lymphocyte,Blood,1,CEBPZ
72405|PARP1,6.96306817205006E-08,-7.1571993528353,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
38658|SOX2,7.51445214941526E-08,-7.12410267670833,Homo sapiens,SOX2,tf,LoVo,None,Colon,1,SOX2
74659|ZBTB2,7.52085738131569E-08,-7.12373264680874,Homo sapiens,ZBTB2,tf,HepG2,Epithelium,Liver,1,ZBTB2
62731|ZNF366,7.88534499918114E-08,-7.10317930069109,Homo sapiens,ZNF366,,HEK293,Epithelium,Embryonic Kidney,1,ZNF366
45421|RBBP5,8.01563105334857E-08,-7.09606228089579,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
42775|NPAT,8.42813851487101E-08,-7.07426833545717,Homo sapiens,NPAT,tf,LoVo,None,Colon,1,NPAT
43556|CBX6,8.87017524431322E-08,-7.05206779991051,Homo sapiens,CBX6,cr,None,Epithelium,Mammary Gland,1,CBX6
49259|BMI1,9.14808624963293E-08,-7.03866974944755,Homo sapiens,BMI1,cr,293T-Rex,None,None,0,BMI1
52054|HJURP,9.45698537813122E-08,-7.02424728244535,Homo sapiens,HJURP,predicted chromatin regulator,SW480,None,Colon,0,HJURP
51549|ZFP42,9.58528327821284E-08,-7.01839504769497,Homo sapiens,ZFP42,tf,HUES64,Embryonic Stem Cell,Embryo,1,ZFP42
42712|E2F3,9.66464056006977E-08,-7.01481429328375,Homo sapiens,E2F3,tf,LoVo,None,Colon,1,E2F3
9237|CBX3,1.03633497172684E-07,-6.98449984607818,Homo sapiens,CBX3,cr,HCT-116,None,Colon,1,CBX3
77066|ZNF671,1.07067484822476E-07,-6.97034239944058,Homo sapiens,ZNF671,tf,293T,None,None,1,ZNF671
35658|PBX1,1.10184250223799E-07,-6.95788047925675,Homo sapiens,PBX1,tf,MCF7-LTED,Epithelium,Mammary Gland,1,PBX1
42177|MITF,1.12669299834334E-07,-6.94819440452936,Homo sapiens,MITF,tf,None,Melanocyte,None,0,MITF
63286|OSR2,1.18696860396117E-07,-6.9255607682457,Homo sapiens,OSR2,,HEK293,Epithelium,Embryonic Kidney,1,OSR2
68102|CRY1,1.18901022527762E-07,-6.92481441050953,Homo sapiens,CRY1,not sure,U2OS,None,Bone,1,CRY1
74668|BATF,1.24202023277231E-07,-6.90587132935284,Homo sapiens,BATF,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BATF
38808|BARHL1,1.2431024337678E-07,-6.90549308327534,Homo sapiens,BARHL1,tf,LoVo,None,Colon,0,BARHL1
74682|FOXO3,1.25222939628689E-07,-6.90231610529828,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
33678|TBX21,1.25298210695846E-07,-6.90205513084519,Homo sapiens,TBX21,tf,None,Th1,None,1,TBX21
36802|GREB1,1.3306090479448E-07,-6.87594952774166,Homo sapiens,GREB1,not sure,MCF-7,Epithelium,Breast,1,GREB1
65161|ZNF774,1.43966947641072E-07,-6.84173720307655,Homo sapiens,ZNF774,,HEK293,Epithelium,Embryonic Kidney,0,ZNF774
39359|SMAD3,1.4968481504285E-07,-6.82482225495149,Homo sapiens,SMAD3,tf,LX2,Hepatic Stellate Cell,None,1,SMAD3
63936|YBX3,1.5033992672997E-07,-6.82292566574868,Homo sapiens,YBX3,tf,K562,Erythroblast,Bone Marrow,1,YBX3
1219|GATAD1,1.51631286471332E-07,-6.81921118036633,Homo sapiens,GATAD1,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,GATAD1
64173|ZNF580,1.53061407548449E-07,-6.81513429722822,Homo sapiens,ZNF580,,HEK293,Epithelium,Embryonic Kidney,1,ZNF580
64495|ZNF781,1.59513146913426E-07,-6.79720351701647,Homo sapiens,ZNF781,,HEK293,Epithelium,Embryonic Kidney,1,ZNF781
5983|SUPT20H,1.61406096599315E-07,-6.79208006521844,Homo sapiens,SUPT20H,other,GM12878,B Lymphocyte,Blood,1,SUPT20H
5454|BCAT1,1.81924347919527E-07,-6.740109173067,Homo sapiens,BCAT1,not sure,LS180,Epithelium,Colon,1,BCAT1
74120|OLFM2,1.83613051873976E-07,-6.7360964508288,Homo sapiens,OLFM2,other,MCF-7,None,None,1,OLFM2
56132|H2AFX,1.89935524919083E-07,-6.72139379864681,Homo sapiens,H2AFX,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,H2AFX
62793|ZNF394,2.00182242282576E-07,-6.69857445043682,Homo sapiens,ZNF394,,HEK293,Epithelium,Embryonic Kidney,1,ZNF394
64888|NCOA1,2.10606102502009E-07,-6.67652904889341,Homo sapiens,NCOA1,cr,K562,Erythroblast,Bone Marrow,1,NCOA1
41625|MAFK,2.24020636763189E-07,-6.64971197264997,Homo sapiens,MAFK,tf,OCI-Ly7,B cell lymphoma,Blood,1,MAFK
45967|STAT2,2.40050999633645E-07,-6.61969648117796,Homo sapiens,STAT2,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,STAT2
73848|MEN1,2.40805087925455E-07,-6.61833434119077,Homo sapiens,MEN1,tf,MCF-7,None,Breast,1,MEN1
64052|CEBPG,2.49427714371642E-07,-6.60305529291856,Homo sapiens,CEBPG,tf,K562,Erythroblast,Bone Marrow,1,CEBPG
64089|TEAD2,2.57010406123914E-07,-6.59004929211345,Homo sapiens,TEAD2,tf,K562,Erythroblast,Bone Marrow,1,TEAD2
64706|ZSCAN16,2.57884560872501E-07,-6.58857465758516,Homo sapiens,ZSCAN16,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN16
1224|CCDC101,2.58086782722877E-07,-6.58823423620585,Homo sapiens,CCDC101,cr,HeLa,Epithelium,Cervix,1,CCDC101
62920|ZSCAN29,2.61052898298253E-07,-6.58327148074114,Homo sapiens,ZSCAN29,,K562,Erythroblast,Bone Marrow,1,ZSCAN29
43684|KDM4C,2.74714035852774E-07,-6.56111915078081,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
64619|TRIM22,2.95988918430634E-07,-6.52872454824686,Homo sapiens,TRIM22,,GM12878,B Lymphocyte,Blood,1,TRIM22
74383|IL1B,3.02461798662446E-07,-6.51932946953306,Homo sapiens,IL1B,other,MCF-7,None,Breast,0,IL1B
77113|ZNF468,3.08573113505517E-07,-6.51064191743321,Homo sapiens,ZNF468,other,293T,None,None,1,ZNF468
7487|JUNB,3.19297972950494E-07,-6.49580383855172,Homo sapiens,JUNB,tf,K562,Erythroblast,Bone Marrow,1,JUNB
63097|SMAD5,3.27926836907189E-07,-6.48422304004374,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
62879|SMARCE1,3.45128986056764E-07,-6.46201856445276,Homo sapiens,SMARCE1,,K562,Erythroblast,Bone Marrow,1,SMARCE1
356|CDX2,3.75321635215364E-07,-6.4255964001917,Homo sapiens,CDX2,tf,Caco-2,Epithelium,Colon,1,CDX2
45799|PPARGC1A,3.80685791445679E-07,-6.41943333230539,Homo sapiens,PPARGC1A,tf,HepG2,Epithelium,Liver,1,PPARGC1A
58462|ARID1A,3.82044734792419E-07,-6.41788578123487,Homo sapiens,ARID1A,predicted transcription factor,HepG2,Epithelium,Liver,1,ARID1A
47088|EPAS1,3.93670470055785E-07,-6.40486716121387,Homo sapiens,EPAS1,tf,None,Macrophage,None,1,EPAS1
35296|ORC1,4.29250081146471E-07,-6.36728961406696,Homo sapiens,ORC1,other,HeLa-S3,Epithelium,Cervix,1,ORC1
69806|NR1H2,4.69176494821699E-07,-6.3286637536429,Homo sapiens,NR1H2,tf,HT29,colorectal adenocarcinoma,None,1,NR1H2
2974|SETDB1,4.8828024490355E-07,-6.31133084627277,Homo sapiens,SETDB1,cr,WM262,Melanocyte,Skin,1,SETDB1
56010|CDK12,5.15229061026634E-07,-6.28799964897208,Homo sapiens,CDK12,tf,Jurkat,T Lymphocyte,Blood,1,CDK12
63525|ZFP2,5.81310977632032E-07,-6.23559147563298,Homo sapiens,ZFP2,,HEK293,Epithelium,Embryonic Kidney,1,ZFP2
7486|HDAC8,5.82015576511274E-07,-6.23506539215016,Homo sapiens,HDAC8,cr,K562,Erythroblast,Bone Marrow,1,HDAC8
38804|E2F8,5.97778943123295E-07,-6.22345938713284,Homo sapiens,E2F8,tf,LoVo,None,Colon,1,E2F8
38827|FOXG1,6.09247688687642E-07,-6.21520610972979,Homo sapiens,FOXG1,tf,LoVo,None,Colon,1,FOXG1
46101|NFIC,6.31044369703293E-07,-6.19994010376719,Homo sapiens,NFIC,tf,ECC-1,Epithelium,Endometrium,1,NFIC
46121|PBX3,6.33654011650275E-07,-6.19814781127663,Homo sapiens,PBX3,tf,GM12878,B Lymphocyte,Blood,1,PBX3
65141|ZNF320,6.50687397407701E-07,-6.1866276046528,Homo sapiens,ZNF320,,HEK293,Epithelium,Embryonic Kidney,1,ZNF320
38860|CASP8AP2,6.61575197014042E-07,-6.17942078519955,Homo sapiens,CASP8AP2,tf,LoVo,None,Colon,1,CASP8AP2
45683|GTF2F1,6.68316996021989E-07,-6.17501749415881,Homo sapiens,GTF2F1,tf,H1,Embryonic Stem Cell,Embryo,1,GTF2F1
8771|CHD7,6.7209088322473E-07,-6.17257199567502,Homo sapiens,CHD7,cr,K562,Erythroblast,Bone Marrow,1,CHD7
64875|IRF9,6.72818677494025E-07,-6.1721019609973,Homo sapiens,IRF9,tf,K562,Erythroblast,Bone Marrow,1,IRF9
63201|LARP7,6.99142332860614E-07,-6.15543440067294,Homo sapiens,LARP7,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,LARP7
38856|ATOH1,7.01011928450068E-07,-6.1542745919963,Homo sapiens,ATOH1,tf,LoVo,None,Colon,1,ATOH1
2972|ATF7IP,7.07916297748579E-07,-6.15001808916741,Homo sapiens,ATF7IP,cr,WM262,Melanocyte,Skin,1,ATF7IP
63555|MIER1,7.28000536853735E-07,-6.1378683004225,Homo sapiens,MIER1,,K562,Erythroblast,Bone Marrow,1,MIER1
46144|MEF2C,7.283444268813E-07,-6.13766319854369,Homo sapiens,MEF2C,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,MEF2C
77258|ZNF701,7.4088200519018E-07,-6.13025095339078,Homo sapiens,ZNF701,tf,MCF-7,None,None,1,ZNF701
42717|HEYL,7.52779584389796E-07,-6.1233321676189,Homo sapiens,HEYL,tf,LoVo,None,Colon,1,HEYL
46238|TEAD4,7.57996967859498E-07,-6.12033253162985,Homo sapiens,TEAD4,tf,HepG2,Epithelium,Liver,1,TEAD4
49448|EGLN2,7.8043535911565E-07,-6.10766306229016,Homo sapiens,EGLN2,other,T47D,Epithelium,Mammary Gland,1,EGLN2
42752|BARX1,7.93847063307318E-07,-6.10026315747121,Homo sapiens,BARX1,tf,LoVo,None,Colon,1,BARX1
47739|LANA,8.1317142719417E-07,-6.08981788978549,Homo sapiens,LANA,other,TIVE-LTC,T Lymphocyte,Blood,0,LANA
77140|ZNF304,8.22280208756521E-07,-6.08498016253334,Homo sapiens,ZNF304,other,293T,None,None,1,ZNF304
50434|ELK3,8.36551906191474E-07,-6.07750710685561,Homo sapiens,ELK3,tf,None,Endothelial Cell,Umbilical Vein,1,ELK3
63011|ZNF697,8.38829074145675E-07,-6.07632652512824,Homo sapiens,ZNF697,,HEK293,Epithelium,Embryonic Kidney,1,ZNF697
75838|MYOG,8.75433413982663E-07,-6.05777688103643,Homo sapiens,MYOG,tf,Rh4,rhabdomyosarcoma,None,1,MYOG
63914|H3F3A,9.34134226082684E-07,-6.02959071535586,Homo sapiens,H3F3A,,MM.1S,B Lymphoblast,Blood,1,H3F3A
50971|TERF2,9.40316019715226E-07,-6.02672616496064,Homo sapiens,TERF2,predicted chromatin regulator,WI-38,Fibroblast,Lung,1,TERF2
47100|CBFA2T3,9.82237942037667E-07,-6.00778329388663,Homo sapiens,CBFA2T3,tf,CAL-1,Dendritic Cell,None,1,CBFA2T3
33220|NR5A2,1.0337281600159E-06,-5.98559365285393,Homo sapiens,NR5A2,tf,MCF-7,Epithelium,Breast,1,NR5A2
63774|ZNF264,1.06004825056738E-06,-5.97467436635952,Homo sapiens,ZNF264,,HEK293,Epithelium,Embryonic Kidney,1,ZNF264
43305|CDK6,1.06390056425765E-06,-5.97309896077427,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
42708|ATF2,1.10445622508726E-06,-5.95685149263075,Homo sapiens,ATF2,predicted transcription factor,LoVo,None,Colon,1,ATF2
62679|CREB3,1.13977589100145E-06,-5.94318053363677,Homo sapiens,CREB3,tf,K562,Erythroblast,Bone Marrow,1,CREB3
63619|ZNF280D,1.14594651379196E-06,-5.94083565227011,Homo sapiens,ZNF280D,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,ZNF280D
45929|SIRT6,1.18136714760686E-06,-5.92761511051518,Homo sapiens,SIRT6,cr,K562,Erythroblast,Bone Marrow,1,SIRT6
56849|KRAB,1.19833945055881E-06,-5.92142014302956,Homo sapiens,KRAB,other,K562,Erythroblast,Bone Marrow,1,KRAB
77103|ZNF519,1.31984919538031E-06,-5.87947568800298,Homo sapiens,ZNF519,tf,293T,None,None,1,ZNF519
38773|NFAT5,1.53123693252821E-06,-5.81495760451513,Homo sapiens,NFAT5,tf,LoVo,None,Colon,1,NFAT5
52495|TCF21,1.59420894813023E-06,-5.79745475754915,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
77114|ZNF460,1.59747680184008E-06,-5.79656543983998,Homo sapiens,ZNF460,tf,293T,None,None,1,ZNF460
64546|HNF1A,1.62213509841136E-06,-5.78991297869992,Homo sapiens,HNF1A,tf,HepG2,Epithelium,Liver,1,HNF1A
65178|ZNF22,1.64213116654599E-06,-5.78459215621048,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1,ZNF22
8812|KDM5A,1.76813715563329E-06,-5.75248404949017,Homo sapiens,KDM5A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM5A
42804|ZBTB10,1.93856925484459E-06,-5.7125186793307,Homo sapiens,ZBTB10,tf,LoVo,None,Colon,1,ZBTB10
64421|PRDM12,1.98669720685718E-06,-5.70186831880446,Homo sapiens,PRDM12,,HEK293,Epithelium,Embryonic Kidney,1,PRDM12
64454|AEBP2,2.08441973065243E-06,-5.68101482455108,Homo sapiens,AEBP2,tf,HEK293,Epithelium,Embryonic Kidney,1,AEBP2
65085|ZNF134,2.12956321959945E-06,-5.67170946265027,Homo sapiens,ZNF134,,HEK293,Epithelium,Embryonic Kidney,1,ZNF134
77259|WDHD1,2.16390267843147E-06,-5.66476227552971,Homo sapiens,WDHD1,tf,MCF-7,None,None,1,WDHD1
46243|FOSL2,2.32803219751832E-06,-5.63301101753253,Homo sapiens,FOSL2,tf,HepG2,Epithelium,Liver,1,FOSL2
63023|PRPF4,2.35038509616148E-06,-5.62886097541501,Homo sapiens,PRPF4,,K562,Erythroblast,Bone Marrow,1,PRPF4
41756|ZMYND11,2.39083948777585E-06,-5.62144957984959,Homo sapiens,ZMYND11,predicted chromatin regulator,U2OS,None,Bone,1,ZMYND11
5562|RAC3,2.43503301167181E-06,-5.61349514669176,Homo sapiens,RAC3,cr,H3396,Epithelium,Mammary Gland,1,RAC3
63905|ZNF438,2.50042909538672E-06,-5.60198545622085,Homo sapiens,ZNF438,,HEK293,Epithelium,Embryonic Kidney,1,ZNF438
64705|YBX1,2.55955925898554E-06,-5.59183481119969,Homo sapiens,YBX1,tf,MCF-7,Epithelium,Breast,1,YBX1
64696|TCF7,2.59968403149014E-06,-5.5850794334596,Homo sapiens,TCF7,tf,K562,Erythroblast,Bone Marrow,1,TCF7
38736|NKX2-2,2.63741593153899E-06,-5.57882137474661,Homo sapiens,NKX2-2,tf,LoVo,None,Colon,1,NKX2-2
49669|PROX1,2.81861295486907E-06,-5.54996455630472,Homo sapiens,PROX1,tf,SW480,None,Colon,1,PROX1
1872|RB1,2.89600872033224E-06,-5.53820013474476,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
56127|APOBEC3B,3.01951319681137E-06,-5.52006306796332,Homo sapiens,APOBEC3B,other,MCF-7,Epithelium,Breast,1,APOBEC3B
38635|FOXD2,3.30536659365333E-06,-5.48078036650465,Homo sapiens,FOXD2,tf,LoVo,None,Colon,1,FOXD2
45763|POLR3A,3.32299869698627E-06,-5.47846982901674,Homo sapiens,POLR3A,tf,HeLa-S3,Epithelium,Cervix,1,POLR3A
65166|ZNF322,3.56827240893809E-06,-5.44754199813485,Homo sapiens,ZNF322,,HEK293,Epithelium,Embryonic Kidney,1,ZNF322
55548|MEF2B,3.67565884701326E-06,-5.43466480406915,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
8447|SMAD1,3.86927871559584E-06,-5.41236998563529,Homo sapiens,SMAD1,predicted transcription factor,U937,None,Pleura,1,SMAD1
77143|ZNF28,4.09388092126317E-06,-5.38786479381578,Homo sapiens,ZNF28,tf,293T,None,None,1,ZNF28
43571|RING1,4.20828384239957E-06,-5.37589497535847,Homo sapiens,RING1,cr,None,Fibroblast,Foreskin,1,RING1
45921|BRF2,4.23310181729697E-06,-5.37334128546919,Homo sapiens,BRF2,tf,K562,Erythroblast,Bone Marrow,0,BRF2
73970|ZNF202,4.47162979549942E-06,-5.34953415870548,Homo sapiens,ZNF202,,293T,None,None,1,ZNF202
52222|LMNA,4.57920923951916E-06,-5.33920951163884,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1,LMNA
62618|KLF17,4.90060273611315E-06,-5.30975050183479,Homo sapiens,KLF17,,HEK293,Epithelium,Embryonic Kidney,1,KLF17
64424|KLF16,4.90694429228222E-06,-5.30918887246371,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
46280|STAT5A,5.22789337098484E-06,-5.28167327894634,Homo sapiens,STAT5A,tf,K562,Erythroblast,Bone Marrow,1,STAT5A
36226|DCP1A,5.97268270774443E-06,-5.22383055606088,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
42906|KMT2B,6.00860751681642E-06,-5.22122616324384,Homo sapiens,KMT2B,cr,HCT-116,None,Colon,1,KMT2B
49266|SCML2,6.43846321279895E-06,-5.19121778137427,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
1874|RBL2,6.665348244006E-06,-5.17617715510246,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
63609|ZNF558,6.74593680916047E-06,-5.17095773127037,Homo sapiens,ZNF558,,HEK293,Epithelium,Embryonic Kidney,1,ZNF558
63377|ZSCAN5A,6.75421915585783E-06,-5.17042485180905,Homo sapiens,ZSCAN5A,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN5A
65180|ZNF35,6.84351938545769E-06,-5.16472049819185,Homo sapiens,ZNF35,,HEK293,Epithelium,Embryonic Kidney,1,ZNF35
38820|BARX2,6.8790532127827E-06,-5.16247133106086,Homo sapiens,BARX2,tf,LoVo,None,Colon,1,BARX2
51611|THAP11,7.28222872264928E-06,-5.13773568472307,Homo sapiens,THAP11,tf,HUES64,Embryonic Stem Cell,Embryo,1,THAP11
73966|ZNF257,7.44664299612285E-06,-5.1280394664239,Homo sapiens,ZNF257,,293T,None,None,1,ZNF257
77256|ZXDC,7.50151996126158E-06,-5.12485073075388,Homo sapiens,ZXDC,tf,MCF-7,None,None,1,ZXDC
63594|SOX13,8.00568988457151E-06,-5.09660123711723,Homo sapiens,SOX13,,HepG2,Epithelium,Liver,1,SOX13
69816|NELFE,8.2460246370597E-06,-5.08375537196941,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
35474|NKX2-1,8.48060278169083E-06,-5.07157327799584,Homo sapiens,NKX2-1,tf,NCI-H3122,None,Lung,1,NKX2-1
49738|LMO2,8.59593864388497E-06,-5.06570669307791,Homo sapiens,LMO2,not sure,Kasumi-1,Myeloblast,Blood,1,LMO2
64175|ATF4,9.33996857577224E-06,-5.02965458494675,Homo sapiens,ATF4,tf,HepG2,Epithelium,Liver,1,ATF4
77087|ZNF565,9.65152623522148E-06,-5.01540400446724,Homo sapiens,ZNF565,tf,293T,None,None,1,ZNF565
77164|ZNF189,1.00567251692385E-05,-4.99754341813398,Homo sapiens,ZNF189,other,293T,None,None,1,ZNF189
6543|TP73,1.04354446325838E-05,-4.98148904182002,Homo sapiens,TP73,predicted transcription factor,Saos-2,Osteosarcoma cell,Bone,1,TP73
35708|PIAS4,1.07657818529949E-05,-4.96795442453895,Homo sapiens,PIAS4,other,WI-38,Fibroblast,Lung,1,PIAS4
77457|SON,1.13013942791285E-05,-4.94686797329733,Homo sapiens,SON,,K562,Leukemia,None,1,SON
51839|MRE11A,1.1483195943518E-05,-4.93993722452789,Homo sapiens,MRE11A,not sure,LNCaP,Epithelium,Prostate,1,MRE11A
33864|POU5F1,1.18958947817327E-05,-4.92460288577014,Homo sapiens,POU5F1,tf,NCCIT,None,Embryo,1,POU5F1
63357|ZFP41,1.30653517925738E-05,-4.88387889213515,Homo sapiens,ZFP41,,HEK293,Epithelium,Embryonic Kidney,1,ZFP41
69799|NR1H3,1.3426725017085E-05,-4.87202990545901,Homo sapiens,NR1H3,tf,HT29,colorectal adenocarcinoma,None,1,NR1H3
69219|SLC22A2,1.3693157416228E-05,-4.86349639917506,Homo sapiens,SLC22A2,not sure,HBL1,B cell lymphoma,None,1,SLC22A2
72923|TBX5,1.38586656192596E-05,-4.85827858372787,Homo sapiens,TBX5,tf,None,Cardiomyocyte,None,1,TBX5
76499|ZMYND8,1.44876739184285E-05,-4.83900133747456,Homo sapiens,ZMYND8,cr,ZR-75-30,None,None,1,ZMYND8
